"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000302984",10.4249661001661,-0.330647832066221,0.952434751631893,-0.347160612839559,0.728470659211805,NA
"ENSG00000260236",100.125854097842,-0.0696325703190098,0.314776652294515,-0.221212627465964,0.824926877510196,0.920905953164406
"ENSG00000303137",30.6233394833964,-0.0541212862186255,0.52629082002517,-0.102835322523842,0.918093670545867,NA
"ENSG00000303138",2.40690780410095,-0.866373188490349,1.92568279550235,-0.449904413392414,0.652779365156655,NA
"ENSG00000285906",277.333862003318,-0.322258236230346,0.178690645204184,-1.80344212122639,0.0713188075415645,0.210373026938195
"ENSG00000293415",14.2831591598956,-0.0544047417875936,0.794580330271726,-0.0684697817387306,0.945411674286187,NA
"ENSG00000303329",2.5803784924067,-2.6720573684635,2.02312039951056,-1.320760429834,0.186581257577043,NA
"ENSG00000285938",13.469578186489,-1.14728474524546,0.886488227988379,-1.29419061531012,0.195599587584225,NA
"ENSG00000231401",5.23934434943904,-0.287257789286927,1.46418481005515,-0.196189570684118,0.844461790823323,NA
"ENSG00000228804",3.62484104120689,-0.717010638119609,1.45548322195705,-0.492627209508819,0.622276018636008,NA
"ENSG00000224957",16.6805126236118,-0.893116415834995,0.785201077839707,-1.13743656375535,0.255355829422593,NA
"ENSG00000303409",7.45887206836289,1.65831185614838,1.21757784718872,1.36197604118478,0.173205446387664,NA
"ENSG00000224239",27.2330913266073,-1.32627201980095,0.622914306450032,-2.12914040674283,0.0332426455782821,NA
"ENSG00000223715",2.63237835239561,-0.257724526792258,1.7402442023928,-0.148096759315671,0.882266406936465,NA
"ENSG00000289828",5.57941912943622,0.602690858600864,1.36827668015669,0.440474406486155,0.659593544918575,NA
"ENSG00000237167",5.82864535068324,0.145521019045921,1.231740890353,0.118142557566809,0.905954703491067,NA
"ENSG00000303485",8.77694117438543,-0.385077155866231,1.03657989013203,-0.371488159795559,0.710273973160009,NA
"ENSG00000303531",1.86456195135608,-3.268813591055,2.63152458209058,-1.24217482644914,0.214172065491849,NA
"ENSG00000282527",3.66462296143634,1.4395417419019,1.9791000552081,0.727371887092656,0.466998171420074,NA
"ENSG00000303600",12.5908247135568,-1.63115686891623,0.87123322138087,-1.87223906169568,0.06117353721477,NA
"ENSG00000303667",11.3566116472489,2.12876367523089,0.940695001303959,2.26296905190319,0.0236375971251144,NA
"ENSG00000303801",2.30815800368874,0.930334313057396,1.93104995358898,0.481776409423439,0.62996478940142,NA
"ENSG00000303819",3.53685330753889,0.627088300368661,1.50655647826259,0.416239490133048,0.677234765567541,NA
"ENSG00000289420",2.3270715041077,-1.44942210140116,2.2040451232691,-0.657619068729107,0.510782938344198,NA
"ENSG00000303878",3.61202177632769,-0.831109847707729,1.52411943447541,-0.545304934054455,0.585543811186535,NA
"ENSG00000268324",30.6574749451747,-0.30730859411859,0.551093531668966,-0.557634188134848,0.577094205969259,NA
"ENSG00000235904",78.6112511978804,0.022712145274282,0.344742202190149,0.0658815344625393,0.947472142003475,0.976972612891387
"ENSG00000304056",57.710577511872,-0.480945548089891,0.406490656101357,-1.18316507617329,0.236743730980629,0.466095220564052
"ENSG00000304074",1.86795231108356,-4.27399097492457,2.54965077911067,-1.6763044609644,0.0936785715795888,NA
"ENSG00000235978",15.9203764292457,0.251283796008395,0.727565305888742,0.345376276156329,0.729811510031987,NA
"ENSG00000232874",14.622725554016,-0.783446944608577,0.81203939816573,-0.964789327190603,0.334650342709581,NA
"ENSG00000241560",10.71430711745,-0.710256602784179,0.986078623460435,-0.72028394682331,0.471350186655651,NA
"ENSG00000304261",1.91359413109256,2.32285497795061,2.15872290508175,1.07603202452825,0.28191293427612,NA
